name,region,gl_type,region_type,area,volume,lat,lon
IC_1368, CW, LT, ice_cap, 0.01,      0, 70.67642, -53.34912 
IC_1370, CW, LT, ice_cap, 0.04,      0, 70.65533, -53.58355 
IC_1371, CW, LT, ice_cap, 0.01,      0, 70.64770, -53.65403 
IC_1372, CW, LT, ice_cap, 0.01,      0, 70.65762, -53.43665 
IC_1373, CW, LT, ice_cap, 0.02,      0, 70.65642, -53.43337 
IC_1374, CW, LT, ice_cap, 0.02,      0, 70.65388, -53.42950 
IC_1375, CW, LT, ice_cap, 0.01,      0, 70.64054, -53.66991 
IC_1376, CW, LT, ice_cap, 0.01,      0, 70.64347, -53.57541 
IC_1377, CW, LT, ice_cap, 0.01,      0, 70.66395, -53.02048 
IC_1369, CW, LT, ice_cap, 5.27,      0, 70.64190, -53.49411 
IC_1378, CW, LT, ice_cap, 0.01,      0, 70.61986, -53.77258 
IC_1380, CW, LT, ice_cap, 0.01,      0, 70.62154, -53.50529 
IC_1367, CW, LT, ice_cap, 14.61,      0, 70.61543, -53.77483 
IC_1379, CW, LT, ice_cap, 8.54,      0, 70.68609, -51.80341 
IC_1382, CW, LT, ice_cap, 0.02,      0, 70.57757, -53.63970 
IC_1383, CW, LT, ice_cap, 0.01,      0, 70.58007, -53.48120 
IC_1385, CW, LT, ice_cap, 0.01,      0, 70.61313, -52.52149 
IC_1384, CW, LT, ice_cap, 17.29,      0, 70.54654, -53.47686 
IC_1386, CW, LT, ice_cap, 0.01,      0, 70.58931, -52.83076 
IC_1381, CW, LT, ice_cap, 5.67,      0, 70.55215, -53.79907 
IC_1389, CE, LT, ice_cap, 0.01,      0, 69.53475, -24.93002 
IC_1391, CW, LT, ice_cap, 0.01,      0, 70.51994, -53.44890 
IC_1388, CE, LT, ice_cap, 5.79,      0, 69.52490, -24.96792 
IC_1393, CE, LT, ice_cap, 0.01,      0, 69.45303, -25.05836 
IC_1392, CE, LT, ice_cap, 10.08,      0, 69.45591, -25.01352 
IC_1397, CW, LT, ice_cap, 0.03,      0, 70.27769, -54.21057 
IC_1399, CW, LT, ice_cap, 27.33,      0, 70.22101, -54.17720 
IC_1398, CW, LT, ice_cap, 0.01,      0, 70.27841, -54.19746 
IC_1400, CW, LT, ice_cap, 0.01,      0, 70.27678, -54.19398 
IC_1396, CE, LT, ice_cap, 7.64,      0, 69.34102, -25.37985 
IC_1402, CW, LT, ice_cap, 0.01,      0, 70.37836, -51.28358 
IC_1403, CW, LT, ice_cap, 0.01,      0, 70.35482, -51.57109 
IC_1405, CW, LT, ice_cap, 0.04,      0, 70.31342, -51.97367 
IC_1401, CE, LT, ice_cap, 16.98,      0, 69.30362, -25.42268 
IC_1404, CE, LT, ice_cap, 6.07,      0, 69.29763, -25.53453 
IC_1409, CW, LT, ice_cap, 0.02,      0, 70.17436, -54.41020 
IC_1414, CW, LT, ice_cap, 0.01,      0, 70.20303, -53.58029 
IC_1416, CW, LT, ice_cap, 0.01,      0, 70.15854, -54.32756 
IC_1410, CW, LT, ice_cap, 8.55,      0, 70.19414, -53.61749 
IC_1407, CW, LT, ice_cap, 7.18,      0, 70.26428, -52.56100 
IC_1412, CW, LT, ice_cap, 4.95,      0, 70.26914, -52.12762 
IC_1413, CW, LT, ice_cap, 4.93,      0, 70.24597, -52.49478 
IC_1411, CW, LT, ice_cap, 10.66,      0, 70.13538, -54.29203 
IC_1421, CW, LT, ice_cap, 0.01,      0, 70.25524, -51.69209 
IC_1422, CW, LT, ice_cap, 0.01,      0, 70.25246, -51.73921 
IC_1423, CW, LT, ice_cap, 0.01,      0, 70.26108, -51.49641 
IC_1419, CE, LT, ice_cap, 17.46,      0, 69.19983, -25.35997 
IC_1425, CW, LT, ice_cap, 0.01,      0, 70.15598, -53.57808 
IC_1426, CW, LT, ice_cap, 0.01,      0, 70.15248, -53.55784 
IC_1408, CW, LT, ice_cap, 10.01,      0, 70.23431, -52.42208 
IC_1415, CE, LT, ice_cap, 13.74,      0, 69.18440, -25.21879 
IC_1420, CW, LT, ice_cap, 7.65,      0, 70.11996, -54.18527 
IC_1430, CW, LT, ice_cap, 0.01,      0, 70.10481, -54.16562 
IC_1429, CW, LT, ice_cap, 0.01,      0, 70.09603, -54.32410 
IC_1431, CW, LT, ice_cap, 0.01,      0, 70.10379, -54.16780 
IC_1424, CW, LT, ice_cap, 7.29,      0, 70.09259, -54.42126 
IC_1432, CW, LT, ice_cap, 0.01,      0, 70.12342, -53.45173 
IC_1428, CW, LT, ice_cap, 8.97,      0, 70.19950, -52.00754 
IC_1433, CW, LT, ice_cap, 0.01,      0, 70.18388, -52.00288 
IC_1434, CW, LT, ice_cap, 0.02,      0, 70.19702, -51.60004 
IC_1437, CW, LT, ice_cap, 0.01,      0, 70.19558, -51.60221 
IC_1427, CW, LT, ice_cap, 5.73,      0, 70.07953, -54.31161 
IC_1439, CW, LT, ice_cap, 0.01,      0, 70.06313, -54.29496 
IC_1441, CW, LT, ice_cap, 0.01,      0, 70.18512, -51.63856 
IC_1442, CW, LT, ice_cap, 0.02,      0, 70.11039, -53.29565 
IC_1438, CW, LT, ice_cap, 12.74,      0, 70.05387, -53.96542 
IC_1436, CW, LT, ice_cap, 6.93,      0, 70.10541, -53.37088 
IC_1435, CE, LT, ice_cap, 6.98,      0, 69.12798, -25.44142 
IC_1440, CE, LT, ice_cap, 5.46,      0, 69.13367, -25.52489 
IC_1447, CW, LT, ice_cap, 0.04,      0, 70.05394, -53.89829 
IC_1446, CW, LT, ice_cap, 5.28,      0, 70.02565, -54.28610 
IC_1449, CW, LT, ice_cap, 0.01,      0, 70.15355, -51.45241 
IC_1448, CW, LT, ice_cap, 20.51,      0, 70.14047, -51.40049 
IC_1443, CW, LT, ice_cap, 8.31,      0, 70.08524, -53.35875 
IC_1452, CW, LT, ice_cap, 0.02,      0, 70.04478, -53.34855 
IC_1453, CW, LT, ice_cap, 0.01,      0, 70.11982, -51.60032 
IC_1451, CW, LT, ice_cap, 10.06,      0, 70.12494, -51.14525 
IC_1454, CW, LT, ice_cap, 0.01,      0, 70.10543, -51.62193 
IC_1455, CW, LT, ice_cap, 0.03,      0, 70.09540, -51.61675 
IC_1457, CW, LT, ice_cap, 0.01,      0, 70.01999, -53.05188 
IC_1459, CW, LT, ice_cap, 0.01,      0, 69.97693, -53.74268 
IC_1450, CW, LT, ice_cap, 26.94,      0, 70.00268, -53.72906 
IC_1460, CW, LT, ice_cap, 0.01,      0, 69.97032, -53.71326 
IC_1461, CW, LT, ice_cap, 0.01,      0, 69.97910, -53.40239 
IC_1458, CW, LT, ice_cap, 8.19,      0, 69.97164, -53.48083 
