id,sector_id,name,region,sector_type,gl_type,area,volume,lat,lon
060,029,USSING_BRAEER_N,NW,TW, ice_sheet, 6973.0, 15106.88, 74.28367, -48.37935 
061,076,JUNGERSEN_HENSON_NARAVANA,NO,LT, ice_sheet, 6955.5, 2077.02, 82.03670, -41.64529 
062,013,NARSAP_SERMIA,SW,TW, ice_sheet, 6637.1, 9331.36, 64.73254, -47.54578 
063,081,KANGILERNGATA_SERMIA,CW,TW, ice_sheet, 6286.4, 14189.18, 70.46821, -44.26786 
064,034,KJER_GLETSCHER,NW,TW, ice_sheet, 5998.2, 10430.17, 75.76999, -51.99505 
065,025,NUNATAKASSAAP_SERMIA,NW,TW, ice_sheet, 5833.8, 13029.76, 73.61543, -47.37489 
066,020,QAJUUTTAP_SERMIA,SW,TW, ice_sheet, 5643.0, 5326.81, 61.86697, -45.23474 
067,082,GRAULV,SE,TW, ice_sheet, 5571.3, 7850.42, 64.46896, -43.10903 
068,140,JAETTEGLETSCHER,NE,TW, ice_sheet, 5528.9, 6388.42, 73.24387, -30.65341 
069,202,F_GRAAE,CE,TW, ice_sheet, 5507.3, 8826.01, 72.61379, -31.40066 
070,019,SERMILIGAARSSUK_BRAE,SW,TW, ice_sheet, 5394.6, 5109.40, 61.99679, -46.96462 
071,145,STEENSBY_GLETSCHER,NO,TW, ice_sheet, 5394.4, 5364.86, 80.74381, -52.60972 
072,212,IKERTIVAQ_S,SE,TW, ice_sheet, 5300.2, 9315.82, 66.09916, -41.91451 
073,042,ISSUUARSUIT_SERMIA,NW,TW, ice_sheet, 5255.8, 7934.36, 77.02750, -58.77804 
074,227,AP_BERNSTOFF_GLETSCHER,SE,TW, ice_sheet, 5255.5, 6643.57, 63.98951, -43.02934 
075,157,DENDRITGLETSCHER,CE,TW, ice_sheet, 5114.8, 6820.44, 69.55435, -25.94592 
076,045,LEIDY-MARIE-SERMIARSUPALUK,NW,LT, ice_sheet, 4984.3, 3431.60, 77.06701, -64.50892 
077,063,IKERTIVAQ_NN,SE,TW, ice_sheet, 4972.1, 7664.43, 66.29487, -40.65380 
078,241,ADMIRALTY_TREFORK_KRUSBR_BORGJKEL_PONY,NE,LT, ice_sheet, 4730.5, 2374.42, 76.82735, -25.67168 
079,128,BLSEBR_GAMMEL_HELLERUP_GLETSJER,NE,LT, ice_sheet, 4721.5, 2812.03, 78.26926, -23.42324 
080,079,TINGMIARMIUT_FJORD,SE,TW, ice_sheet, 4577.0, 4747.39, 62.94477, -44.11478 
081,097,MAGGA_DAN_GLETSCHER,CE,TW, ice_sheet, 4440.5, 2746.93, 69.55812, -27.49803 
082,133,EQALORUTSIT_KILLIIT_SERMIAT,SW,TW, ice_sheet, 4399.3, 3512.95, 61.68770, -46.28556 
083,211,IKERTIVAQ_M,SE,TW, ice_sheet, 4366.3, 7985.74, 66.30020, -41.63778 
084,023,NW_NONAME1,NW,LT, ice_sheet, 4163.7, 4189.33, 72.51898, -51.44671 
085,144,WAHLENBERG_VIOLINGLETSJER,NE,LT, ice_sheet, 4159.4, 1614.95, 72.38409, -28.22803 
086,141,NORDENSKIOLD_NE,NE,TW, ice_sheet, 4076.6, 4427.24, 72.99107, -30.45089 
087,262,IC_134,NO,LT, ice_cap, 4056.7, 4730.24, 82.60922, -38.22129 
088,014,AKULLERSUUP-QAMANAARSUUP,SW,TW, ice_sheet, 4050.7, 4857.19, 64.51386, -47.79267 
089,027,QEQERTARSUUP_SERMIA,NW,TW, ice_sheet, 3928.4, 8654.52, 73.98684, -47.95410 
090,095,KIV_STEENSTRUP_NODRE_BRAE,CE,TW, ice_sheet, 3879.2, 1439.92, 66.92138, -35.58399 
091,189,UMIIVIK_FJORD,SE,TW, ice_sheet, 3762.6, 3530.90, 64.69483, -41.93672 
092,125,SKINFAXE,SE,TW, ice_sheet, 3685.9, 3836.00, 63.62455, -43.04451 
093,124,HEIMDAL_GLETSCHER,SE,TW, ice_sheet, 3641.5, 3983.55, 63.21559, -43.66180 
094,116,ANORITUUP_KANGERLUA,SE,TW, ice_sheet, 3587.4, 2644.53, 61.80238, -43.84634 
095,067,KOGE_BUGT_N,SE,TW, ice_sheet, 3578.6, 5726.64, 65.84585, -41.99779 
096,040,NORDENSKIOLD_GLESCHER_NW,NW,TW, ice_sheet, 3488.9, 6621.10, 76.57059, -53.02201 
097,243,POLARIC-DECEPTION_O_N,CE,TW, ice_sheet, 3487.7, 1872.53, 68.16576, -33.61646 
098,221,SERMEQ_AVANNARLEQ,CW,TW, ice_sheet, 3409.0, 7582.32, 70.35399, -44.08128 
099,146,GADE-MORELL,NW,TW, ice_sheet, 3399.9, 2955.79, 76.75457, -62.23435 
100,188,KOGE_BUGT_S,SE,TW, ice_sheet, 3398.6, 3634.28, 64.96458, -42.28601 
101,155,GEIKIE3,CE,TW, ice_sheet, 3335.3, 3305.16, 69.91959, -24.14997 
102,012,KANGILINNGUATA_SERMIA,SW,LT, ice_sheet, 3286.6, 3326.92, 64.96266, -48.33344 
103,110,SOUTHERN_TIP,SE,TW, ice_sheet, 3260.5, 3157.40, 60.53060, -43.72563 
104,018,AVANNARLEQ-NIGERLIKASIK,SW,TW, ice_sheet, 3220.1, 2043.37, 62.52911, -47.96583 
105,047,TRACY_GLETSCHER,NW,TW, ice_sheet, 3205.2, 3090.76, 77.85746, -64.11158 
